"juge" "type" "essai" "o_glo" "o_ter" "o_cav" "o_ff" "flet" "rug" "resi" "croq" "jute" "fari" "masti" "sucr" "acid" "arom" "fond" "astri"
"a" "CAN" "1er" 0.2 0 0.3 0 0.8 5.3 1.3 1.1 1.2 7.6 3.4 4.5 3.2 6.3 7.6 0.6
"b" "CAN" "1er" 1.7 5.5 0.8 2.4 3.8 3.2 5.5 2.3 0.8 7.6 0.5 2.5 7.3 5.7 8.9 1.5
"c" "CAN" "1er" 0 0 0 0 0 4.9 7.4 1.6 0.2 8.3 1.1 5.7 0.1 8.4 9.3 6.1
"d" "CAN" "1er" 1.8 6.3 0.1 0.3 3.7 8.2 2.5 1.7 3.2 7.8 3.3 3 4.1 7.8 4.8 4
"e" "CAN" "1er" 1.4 0.8 0.1 0.7 0.8 5.3 1.9 3 2.4 4.3 2 3.7 4.3 4.3 4.2 1.7
"f" "CAN" "1er" 1.2 0.7 0.1 0.2 2.2 2.2 0.5 0.7 9.2 9.6 4.9 8.2 0.4 2.3 9.2 7
"g" "CAN" "1er" 1.7 0.5 1.2 0 4.5 6.7 4.8 2.2 0.9 6.6 3.1 3.6 4.4 2.5 7.8 6.8
"h" "CAN" "1er" 0.3 0.1 0.1 0 4.6 5.6 8.5 4.7 0.2 9.5 3.2 9.1 2.7 9.5 0.5 0.7
"i" "CAN" "1er" 0.3 0.1 0.1 0 0.1 8.4 8 0.2 0.3 7.7 3.6 7.9 0.5 7.4 5.5 0.8
"j" "CAN" "1er" 2.9 2.8 0.1 0.1 1.5 4.7 7.1 4.9 2.3 7.9 5 7.7 4.9 8.1 3.7 1.9
"k" "CAN" "1er" 1.6 1.4 0.3 0 0 4.4 4.8 1 0.1 9.7 5.3 2.9 1.4 3.2 6.4 1.5
"l" "CAN" "1er" 2.1 0.6 1.1 0 2.8 5.1 3.9 4.1 5.1 6.9 5.2 7.2 5.6 7 6.4 4.4
"m" "CAN" "1er" 0.8 0 0.4 0.1 6.5 8.2 3.4 1.4 0.1 9.8 4.7 4.4 5.3 6.2 5.8 6
"a" "CAN" "2nd" 1.1 0 0.3 0 2 5.6 7.3 2.3 1.7 6.4 3 6.5 2.2 3.4 5.9 1.3
"b" "CAN" "2nd" 4.1 2.4 4.2 0.7 2.4 3.3 3.5 1.6 1.5 8.2 1.2 1.6 6.8 5 7.8 3.9
